,Date,t1,t2,x_FOV,y_FOV,xs_CEN,ys_CEN,ys_FOV,xs_FOV,I_min,I_max,Is_min,Is_max,# maps,filename,Annotation
0,13/02/2021 11:44,2021-02-13 09:44:00,2021-02-13 13:44:00,2300.0,2300.0,475.0,705.0,800.0,800.0,1,1583.0,1.0,1583.0,,20210213_1144_FSI174F.mp4,
1,14/02/2021 16:45,2021-02-14 14:45:00,2021-02-14 18:45:00,4800.0,4800.0,873.0,673.0,900.0,900.0,1,1650.0,1.0,1650.0,,20210214_1645_FSI174F.mp4,
2,14/02/2021 17:45,2021-02-14 15:45:00,2021-02-14 19:45:00,5000.0,5000.0,933.0,672.0,1200.0,1200.0,1,1717.0,1.0,1717.0,,20210214_1745_FSI174F.mp4,
3,15/02/2021 13:15,2021-02-15 11:15:00,2021-02-15 15:15:00,5600.0,5600.0,1114.0,694.0,1600.0,1600.0,1,1733.0,1.0,1733.0,,20210215_1315_FSI174F.mp4,
4,09/11/2021 16:38,2021-11-09 14:38:00,2021-11-09 18:38:00,2700.0,2700.0,1021.0,414.0,1000.0,1000.0,1,2500.0,1.0,2500.0,,20211109_1638_FSI174F.mp4,
5,04/12/2021 05:02,2021-12-04 03:02:00,2021-12-04 07:02:00,2400.0,2400.0,839.0,-475.0,1000.0,1000.0,1,2367.0,1.0,2367.0,,20211204_0502_FSI174F.mp4,
6,05/12/2021 07:14,2021-12-05 05:14:00,2021-12-05 09:14:00,3000.0,3000.0,860.0,-449.0,1000.0,1000.0,1,2410.0,1.0,2410.0,,20211205_0714_FSI174F.mp4,
7,01/01/2022 13:46,2022-01-01 11:46:00,2022-01-01 15:46:00,2700.0,2700.0,885.0,-202.0,800.0,1200.0,1,2967.0,1.0,2967.0,,20220101_1346_FSI174F.mp4,
8,13/01/2022 13:00,2022-01-13 11:00:00,2022-01-13 15:00:00,2700.0,2700.0,877.0,-449.0,900.0,900.0,1,2883.0,1.0,2883.0,,20220113_1300_FSI174F.mp4,
9,14/01/2022 13:14,2022-01-14 11:14:00,2022-01-14 15:14:00,2800.0,2800.0,651.0,-564.0,1200.0,1200.0,1,3000.0,1.0,3000.0,,20220114_1314_FSI174F.mp4,
10,16/01/2022 19:24,2022-01-16 17:24:00,2022-01-16 21:24:00,2900.0,2900.0,715.0,151.0,800.0,800.0,1,3017.0,1.0,3017.0,,20220116_1924_FSI174F.mp4,
11,18/01/2022 17:32,2022-01-18 15:32:00,2022-01-18 19:32:00,2900.0,2900.0,967.0,146.0,800.0,800.0,1,2933.0,1.0,2933.0,,20220118_1732_FSI174F.mp4,
12,20/01/2022 05:54,2022-01-20 03:54:00,2022-01-20 07:54:00,2600.0,2600.0,1035.0,141.0,600.0,600.0,1,3067.0,1.0,3067.0,,20220120_0554_FSI174F.mp4,
13,29/01/2022 23:10,2022-01-29 21:10:00,2022-01-30 01:10:00,3000.0,3000.0,208.0,366.0,1000.0,1000.0,1,3050.0,1.0,3050.0,,20220129_2310_FSI174F.mp4,
14,02/02/2022 05:28,2022-02-02 03:28:00,2022-02-02 07:28:00,3000.0,3000.0,-522.0,366.0,1200.0,1200.0,1,2800.0,1.0,2800.0,,20220202_0528_FSI174F.mp4,
15,03/02/2022 20:40,2022-02-03 18:40:00,2022-02-03 22:40:00,2900.0,2900.0,1115.0,310.0,900.0,900.0,1,2900.0,1.0,2900.0,,20220203_2040_FSI174F.mp4,
16,03/02/2022 23:40,2022-02-03 21:40:00,2022-02-04 01:40:00,3200.0,3200.0,1100.0,341.0,900.0,900.0,1,2983.0,1.0,2983.0,,20220203_2340_FSI174F.mp4,
17,07/02/2022 19:20,2022-02-07 17:20:00,2022-02-07 21:20:00,3200.0,3200.0,1716.0,1631.0,900.0,900.0,1,2917.0,1.0,2917.0,,20220207_1920_FSI174F.mp4,"Wrong coordinates?: (1716, 1631)"
18,08/02/2022 21:40,2022-02-08 19:40:00,2022-02-08 23:40:00,,,1039.0,-355.0,,,1,,1.0,,,,zero files
